start_base,end_base,runs_scored,outs,start_outs,end_outs,start_state,end_state,re_before,re_after,value,norm_value
"(0, 0, 0)","(0, 0, 0)",0,0,0,0,000_0,000_0,0.511700948051228,0.511700948051228,0.0,
"(0, 0, 1)","(0, 0, 0)",1,0,0,0,001_0,000_0,1.4159075573549258,0.511700948051228,0.09579339069630222,1.0
"(0, 0, 1)","(0, 0, 0)",0,1,0,1,001_0,000_1,1.4159075573549258,0.27356140384652405,-1.1423461535084019,-1.0
"(0, 0, 1)","(0, 0, 1)",0,0,0,0,001_0,001_0,1.4159075573549258,1.4159075573549258,0.0,0.8452623678087379
"(0, 1, 0)","(0, 0, 0)",0,1,0,1,010_0,000_1,1.1446674094298273,0.27356140384652405,-0.8711060055833032,-1.0
"(0, 1, 0)","(0, 0, 1)",0,0,0,0,010_0,001_0,1.1446674094298273,1.4159075573549258,0.27124014792509854,0.8452623678087383
"(0, 1, 0)","(0, 0, 0)",1,0,0,0,010_0,000_0,1.1446674094298273,0.511700948051228,0.36703353862140076,1.0
"(0, 1, 0)","(0, 1, 0)",0,0,0,0,010_0,010_0,1.1446674094298273,1.1446674094298273,0.0,0.4071208849772132
"(0, 1, 1)","(0, 0, 1)",1,0,0,0,011_0,001_0,2.015205047318612,1.4159075573549258,0.40070251003631374,0.8944216231959101
"(0, 1, 1)","(0, 0, 0)",2,0,0,0,011_0,000_0,2.015205047318612,0.511700948051228,0.49649590073261596,1.0
"(0, 1, 1)","(0, 1, 0)",0,1,0,1,011_0,010_1,2.015205047318612,0.6970606098301637,-1.3181444374884483,-1.0
"(0, 1, 1)","(0, 0, 1)",0,1,0,1,011_0,001_1,2.015205047318612,0.9719785520382295,-1.0432264952803827,-0.6970000760838654
"(0, 1, 1)","(0, 1, 0)",1,0,0,0,011_0,010_0,2.015205047318612,1.1446674094298273,0.1294623621112152,0.5954751683948427
"(0, 1, 1)","(0, 0, 0)",1,1,0,1,011_0,000_1,2.015205047318612,0.27356140384652405,-0.7416436434720879,-0.3646115079955534
"(0, 1, 1)","(0, 1, 1)",0,0,0,0,011_0,011_0,2.015205047318612,2.015205047318612,0.0,0.45278864326432555
"(1, 0, 0)","(0, 1, 0)",0,0,0,0,100_0,010_0,0.8993376335659277,1.1446674094298273,0.2453297758638996,0.4071208849772132
"(1, 0, 0)","(0, 0, 0)",0,1,0,1,100_0,000_1,0.8993376335659277,0.27356140384652405,-0.6257762297194036,-1.0
"(1, 0, 0)","(0, 0, 1)",0,0,0,0,100_0,001_0,0.8993376335659277,1.4159075573549258,0.5165699237889981,0.8452623678087383
"(1, 0, 0)","(0, 0, 0)",1,0,0,0,100_0,000_0,0.8993376335659277,0.511700948051228,0.6123633144853003,1.0
"(1, 0, 0)","(1, 0, 0)",0,0,0,0,100_0,100_0,0.8993376335659277,0.8993376335659277,0.0,0.010833120787462569
"(1, 0, 1)","(0, 1, 1)",0,0,0,0,101_0,011_0,1.8052961494179354,2.015205047318612,0.20990889790067668,0.5873811284061614
"(1, 0, 1)","(0, 1, 0)",1,0,0,0,101_0,010_0,1.8052961494179354,1.1446674094298273,0.3393712600118919,0.6949723767717157
"(1, 0, 1)","(1, 0, 0)",1,0,0,0,101_0,100_0,1.8052961494179354,0.8993376335659277,0.0940414841479923,0.49108812488572284
"(1, 0, 1)","(0, 1, 0)",0,1,0,1,101_0,010_1,1.8052961494179354,0.6970606098301637,-1.1082355395877717,-0.5080786117279005
"(1, 0, 1)","(0, 0, 1)",0,1,0,1,101_0,001_1,1.8052961494179354,0.9719785520382295,-0.8333175973797059,-0.27960475942134855
"(1, 0, 1)","(0, 0, 1)",1,0,0,0,101_0,001_0,1.8052961494179354,1.4159075573549258,0.6106114079369904,0.9203897540404014
"(1, 0, 1)","(1, 0, 0)",0,1,0,1,101_0,100_1,1.8052961494179354,0.5365059395025369,-1.2687902099153985,-0.641509495652526
"(1, 0, 1)","(0, 0, 0)",1,1,0,1,101_0,000_1,1.8052961494179354,0.27356140384652405,-0.5317347455714114,-0.028970714262925745
"(1, 0, 1)","(0, 0, 0)",2,0,0,0,101_0,000_0,1.8052961494179354,0.511700948051228,0.7064047986332926,1.0
"(1, 0, 1)","(0, 0, 0)",0,2,0,2,101_0,000_2,1.8052961494179354,0.10514160279015194,-1.7001545466277834,-1.0
"(1, 0, 1)","(1, 0, 1)",0,0,0,0,101_0,101_0,1.8052961494179354,1.8052961494179354,0.0,0.4129338218695302
"(1, 1, 0)","(0, 1, 1)",0,0,0,0,110_0,011_0,1.49641124219077,2.015205047318612,0.518793805127842,0.5873811284061614
"(1, 1, 0)","(1, 0, 1)",0,0,0,0,110_0,101_0,1.49641124219077,1.8052961494179354,0.30888490722716533,0.4129338218695302
"(1, 1, 0)","(1, 0, 0)",0,1,0,1,110_0,100_1,1.49641124219077,0.5365059395025369,-0.9599053026882332,-0.641509495652526
"(1, 1, 0)","(0, 1, 0)",0,1,0,1,110_0,010_1,1.49641124219077,0.6970606098301637,-0.7993506323606063,-0.5080786117279005
"(1, 1, 0)","(0, 0, 1)",0,1,0,1,110_0,001_1,1.49641124219077,0.9719785520382295,-0.5244326901525406,-0.27960475942134855
"(1, 1, 0)","(0, 1, 0)",1,0,0,0,110_0,010_0,1.49641124219077,1.1446674094298273,0.6482561672390572,0.6949723767717157
"(1, 1, 0)","(0, 0, 1)",1,0,0,0,110_0,001_0,1.49641124219077,1.4159075573549258,0.9194963151641558,0.9203897540404014
"(1, 1, 0)","(0, 0, 0)",0,2,0,2,110_0,000_2,1.49641124219077,0.10514160279015194,-1.391269639400618,-1.0
"(1, 1, 0)","(0, 0, 0)",2,0,0,0,110_0,000_0,1.49641124219077,0.511700948051228,1.015289705860458,1.0
"(1, 1, 0)","(0, 0, 0)",1,1,0,1,110_0,000_1,1.49641124219077,0.27356140384652405,-0.2228498383442461,-0.028970714262925745
"(1, 1, 0)","(1, 1, 0)",0,0,0,0,110_0,110_0,1.49641124219077,1.49641124219077,0.0,0.1562313159991371
"(1, 1, 0)","(1, 0, 0)",1,0,0,0,110_0,100_0,1.49641124219077,0.8993376335659277,0.4029263913751576,0.49108812488572284
"(1, 1, 1)","(0, 1, 1)",1,0,0,0,111_0,011_0,2.3188014033473285,2.015205047318612,0.6964036439712835,0.6971756265792972
"(1, 1, 1)","(1, 1, 0)",1,0,0,0,111_0,110_0,2.3188014033473285,1.49641124219077,0.1776098388434415,0.38075124373834446
"(1, 1, 1)","(1, 1, 0)",0,1,0,1,111_0,110_1,2.3188014033473285,0.9310801971130783,-1.38772120623425,-0.5739804916539806
