start_base,end_base,runs_scored,outs,start_outs,end_outs,start_state,end_state,re_before,re_after,value,norm_value
"(0, 0, 0)","(0, 0, 0)",0,1,0,1,000_0,000_1,0.511700948051228,0.27356140384652405,-0.23813954420470396,-1.0
"(0, 0, 0)","(0, 1, 0)",0,0,0,0,000_0,010_0,0.511700948051228,1.1446674094298273,0.6329664613785992,0.4071208849772132
"(0, 0, 0)","(0, 0, 0)",1,0,0,0,000_0,000_0,0.511700948051228,0.511700948051228,1.0,1.0
"(0, 0, 0)","(1, 0, 0)",0,0,0,0,000_0,100_0,0.511700948051228,0.8993376335659277,0.38763668551469965,0.010833120787462569
"(0, 0, 0)","(0, 0, 1)",0,0,0,0,000_0,001_0,0.511700948051228,1.4159075573549258,0.9042066093036978,0.8452623678087383
"(0, 0, 1)","(0, 0, 1)",0,1,0,1,001_0,001_1,1.4159075573549258,0.9719785520382295,-0.4439290053166963,-0.27960475942134855
"(0, 0, 1)","(1, 0, 0)",1,0,0,0,001_0,100_0,1.4159075573549258,0.8993376335659277,0.48343007621100187,0.49108812488572284
"(0, 0, 1)","(0, 0, 0)",2,0,0,0,001_0,000_0,1.4159075573549258,0.511700948051228,1.0957933906963022,1.0
"(0, 0, 1)","(0, 0, 0)",1,1,0,1,001_0,000_1,1.4159075573549258,0.27356140384652405,-0.14234615350840185,-0.028970714262925745
"(0, 0, 1)","(0, 0, 1)",1,0,0,0,001_0,001_0,1.4159075573549258,1.4159075573549258,1.0,0.9203897540404014
"(0, 0, 1)","(0, 1, 0)",1,0,0,0,001_0,010_0,1.4159075573549258,1.1446674094298273,0.7287598520749015,0.6949723767717157
"(0, 0, 1)","(1, 0, 1)",0,0,0,0,001_0,101_0,1.4159075573549258,1.8052961494179354,0.3893885920630096,0.4129338218695302
"(0, 0, 1)","(0, 0, 0)",0,2,0,2,001_0,000_2,1.4159075573549258,0.10514160279015194,-1.3107659545647738,-1.0
"(0, 0, 1)","(1, 0, 0)",0,1,0,1,001_0,100_1,1.4159075573549258,0.5365059395025369,-0.8794016178523889,-0.641509495652526
"(0, 0, 1)","(0, 1, 0)",0,1,0,1,001_0,010_1,1.4159075573549258,0.6970606098301637,-0.7188469475247621,-0.5080786117279005
"(0, 0, 1)","(0, 1, 1)",0,0,0,0,001_0,011_0,1.4159075573549258,2.015205047318612,0.5992974899636863,0.5873811284061614
"(0, 1, 0)","(0, 0, 0)",2,0,0,0,010_0,000_0,1.1446674094298273,0.511700948051228,1.3670335386214008,1.0
"(0, 1, 0)","(0, 1, 0)",0,1,0,1,010_0,010_1,1.1446674094298273,0.6970606098301637,-0.44760679959966354,-0.5080786117279005
"(0, 1, 0)","(1, 1, 0)",0,0,0,0,010_0,110_0,1.1446674094298273,1.49641124219077,0.3517438327609428,0.1562313159991371
"(0, 1, 0)","(0, 0, 1)",0,1,0,1,010_0,001_1,1.1446674094298273,0.9719785520382295,-0.17268885739159778,-0.27960475942134855
"(0, 1, 0)","(1, 0, 0)",1,0,0,0,010_0,100_0,1.1446674094298273,0.8993376335659277,0.7546702241361004,0.49108812488572284
"(0, 1, 0)","(1, 0, 1)",0,0,0,0,010_0,101_0,1.1446674094298273,1.8052961494179354,0.6606287399881081,0.4129338218695302
"(0, 1, 0)","(0, 1, 0)",1,0,0,0,010_0,010_0,1.1446674094298273,1.1446674094298273,1.0,0.6949723767717157
"(0, 1, 0)","(0, 0, 1)",1,0,0,0,010_0,001_0,1.1446674094298273,1.4159075573549258,1.2712401479250985,0.9203897540404014
"(0, 1, 0)","(1, 0, 0)",0,1,0,1,010_0,100_1,1.1446674094298273,0.5365059395025369,-0.6081614699272904,-0.641509495652526
"(0, 1, 0)","(0, 0, 0)",0,2,0,2,010_0,000_2,1.1446674094298273,0.10514160279015194,-1.0395258066396753,-1.0
"(0, 1, 0)","(0, 1, 1)",0,0,0,0,010_0,011_0,1.1446674094298273,2.015205047318612,0.8705376378887848,0.5873811284061614
"(0, 1, 0)","(0, 0, 0)",1,1,0,1,010_0,000_1,1.1446674094298273,0.27356140384652405,0.1288939944166968,-0.028970714262925745
"(0, 1, 1)","(0, 1, 1)",0,1,0,1,011_0,011_1,2.015205047318612,1.4130642866382097,-0.6021407606804023,-0.19522515866712908
"(0, 1, 1)","(0, 0, 1)",1,1,0,1,011_0,001_1,2.015205047318612,0.9719785520382295,-0.04322649528038269,0.12309025239324711
"(0, 1, 1)","(0, 1, 0)",2,0,0,0,011_0,010_0,2.015205047318612,1.1446674094298273,1.1294623621112152,0.7909653788571709
